original_sentence,error_sentence,count,label_errors
việc phát giác minh hoàng định bắt canh chết nhưng vì có công chữa khỏi bệnh cho dụ tông nên được tha ,việc phát giác minh hoàng địng bắt canh chết nhưng vì có công chữa khỏi bệnh cho dụ tông nên được tha ,22,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
vào đầu năm này hạn hán sâu cắn lúa thiên tai xảy ra khiến nhiều người chết đói ,vào đầu năm này hạn hát sâu cắn lúa thiên tai xảy ra khiến nhiều người chết đói ,18,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ngô bệ tiếp tục đem quân tụ họp ở núi yên phụ dựng cờ lớn ở trên núi tiếm xưng vị hiệu yết bảng nói cứu giúp dân nghèo ,ngô bệ tiếp tục đem quân tụ họp ở núi yên phụ dựng cờ lớn ở trên núi tiếm sưng vị hiệu yết bảng nói cứu giúp dân nghèo ,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
sử cũ chép rằng có người đã sàm tấu với ông rằng thái úy cung tĩnh vương trần nguyên trác đã yểm bùa hại ông hoàng đế chút nữa là sát hại nguyên trác nhưng hiến từ hoàng thái hậu đã can ngăn ,sử cũ chép rằng có người đã xàm tấu với ông rằng thái úy cung tĩnh vương trần nguyên trác đã yểm bùa hại ông hoàng đế chút nữa là sát hại nguyên trác nhưng hiến từ hoàng thái hậu đã can ngăn ,43,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
có hơn numberic loại khoáng vật đã được biết đến trong đó có hơn numberic loại được hiệp hội khoáng vật học quốc tế công nhận ,có hơn numberic loại khoáng vật đã được biết đến trong đố có hơn numberic loại được hiệp hội khoáng vật học quốc tế công nhận ,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
các loại khoáng vật được phân biệt bởi nhiều tính chất vật lý và hóa học ,các loại khoáng vật được phân việt bởi nhiều tính chất vật lý và hóa học ,16,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
một khoáng vật có thể được nhận biết bằng một vài tính chất vật lý một vài tính chất đó cũng đủ để nhận biết một cách tổng thể mà không gây hiểu nhầm ,một khoáng vật có thể được nhận biết bằng một vài tính chất vật lý mọt vài tính chất đó cũng đủ để nhận biết một cách tổng thể mà không gây hiểu nhầm ,34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
trong tự nhiên thức ăn của trăn hoàng gia chủ yếu là các loài thú nhỏ tỉ như chuột lông mềm châu phi mastomys natalensis chuột chù hay chuột vằn ,trong tụ nhiên thức ăn của trăn hoàng gia chủ yếu là các loài thú nhỏ tỉ như chuột lông mềm châu phi mastomys natalensis chuột chù hay chuột vằn ,30,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
kích cỡ của con mồi phải bằng hoặc lớn hơn một chút so với chiều rộng của phần to nhất của thân trăn ,kích cỡ của con mồi phải bằng hoặc lớn hơn một chút so với chiều rộng của phần to nhất của thân trăng ,23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
một số nguyên nhân gây biếng ăn khác có thể do xúc kích stress do bị ốm cầm nắm quá nhiều hay do nhiệt độ quá cao quá thấp hay do không gian quá chật chội ,một số nguyên nhân gây biếng ăn khác có thể do xúc kích stress do bị ôm cầm nắm quá nhiều hay do nhiệt độ quá cao quá thấp hay do không gian quá chật chội ,36,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
trong điều kiện nuôi nhốt trăn hoàng gia thường được cung cấp một lượng thức ăn đa dạng từ các loại chuột cho đến thịt gà tuy nhiên nguồn thức ăn giàu dinh dưỡng nhất và cũng ổn định nhất là chuột cống ,trong điều kiện nuôi nhốt trăn hoàng gia thường được cung cấp một lượng thức ăn đa dạng từ các loại chuột cho đến thịt gà tuy nhiên nguồn thức ăn giầu dinh dưỡng nhất và cũng ổn định nhất là chuột cống ,43,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
cha mẹ chỉ đảm nhiệm việc ấp và canh chừng trứng còn khi trứng đã nở thì trăn cha mẹ bỏ đi để cho con cái tự kiếm sống ,cha mẹ chỉ đảm nhiệm việc ấp và canh chừng trứng còn khi trứng đã nở thì trănm cha mẹ bỏ đi để cho con cái tự kiếm sống ,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
